code,eng_name,name,native_speakers
epo,Esperanto,Esperanto,
eng,English,English,
rus,Russian,Русский,
cmn,Mandarin,官话,
spa,Spanish,Español,
por,Portuguese,Português,
ita,Italian,Italiano,
ben,Bengali,বাংলা,210
fra,French,Français,
deu,German,Deutsch,
ukr,Ukrainian,Українська,
kat,Georgian,ქართული,
arb,Arabic,العربية,
hin,Hindi,हिन्दी,
jpn,Japanese,日本語,
heb,Hebrew,עברית,
ydd,Yiddish,ייִדיש,
pol,Polish,Polski,
amh,Amharic,አማርኛ,
tir,Tigrinya,ትግርኛ,
jav,Javanese,Basa Jawa,
kor,Korean,한국어,
nob,Bokmal,Bokmål,
nno,Nynorsk,Nynorsk,
dan,Danish,Dansk
swe,Swedish,Svenska,
fin,Finnish,Suomi,
tur,Turkish,Türkçe,
nld,Dutch,Nederlands
hun,Hungarian,Magyar,
ces,Czech,Čeština,
ell,Greek,Ελληνικά,
bul,Bulgarian,Български
bel,Belarusian,Беларуская
mar,Marathi,मराठी
kan,Kannada,ಕನ್ನಡ
ron,Romanian,Română,24
slv,Slovene,Slovenščina,2.5
hrv,Croatian,Hrvatski,7
srp,Serbian,Српски,8.7
mkd,Macedonian,Македонски,2
lit,Lithuanian,Lietuvių,4
lav,Latvian,Latviešu,2
est,Estonian,Eesti,1.1
tam,Tamil,தமிழ்,70
vie,Vietnamese,Tiếng Việt,75
urd,Urdu,اُردُو,66
tha,Thai,ภาษาไทย,56
guj,Gujarati,ગુજરાતી,50
uzb,Uzbek,Oʻzbekcha,27
pan,Punjabi,ਪੰਜਾਬੀ,100
azj,Azerbaijani,Azərbaycanca,26
ind,Indonesian,Bahasa Indonesia,150
tel,Telugu,తెలుగు,85
pes,Persian,فارسی,50
mal,Malayalam,മലയാളം,38
hau,Hausa,Hausa,44
ori,Oriya,ଓଡ଼ିଆ,36
mya,Burmese,မြန်မာစာ,33
bho,Bhojpuri,भोजपुरी,40
tgl,Tagalog,Tagalog,30
yor,Yoruba,Yorùbá,28
mai,Maithili,मैथिली,15
orm,Oromo,Oromoo,25
ibo,Igbo,Igbo,25
ceb,Cebuano,Cebuano,21
kur,Kurdish,Kurdî,20
mlg,Malagasy,Malagasy,18
skr,Saraiki,سرائیکی,20
nep,Nepali,नेपाली,16
sin,Sinhalese,සිංහල,16,
khm,Khmer,ភាសាខ្មែរ,16,
tuk,Turkmen,Türkmençe,9
som,Somali,Soomaaliga,17
nya,Chewa,Chichewa,12
aka,Akan,Akan,11
zul,Zulu,IsiZulu,12
kin,Kinyarwanda,Kinyarwanda,10
hat,Haitian Creole,Kreyòl ayisyen,10
ilo,Ilocano,Ilokano,9
run,Rundi,Ikirundi,9
sna,Shona,ChiShona,8
uig,Uyghur,ئۇيغۇرچە,25
